Vuosi,Paastoluokka,Paasto tuhatta tonnia CO2-ekv. (GWP=AR5)
1990,Paastot yhteensa ilman LULUCF-sektoria,71772
1991,Paastot yhteensa ilman LULUCF-sektoria,69598
1992,Paastot yhteensa ilman LULUCF-sektoria,68129
1993,Paastot yhteensa ilman LULUCF-sektoria,70310
1994,Paastot yhteensa ilman LULUCF-sektoria,75917
1995,Paastot yhteensa ilman LULUCF-sektoria,72266
1996,Paastot yhteensa ilman LULUCF-sektoria,78149
1997,Paastot yhteensa ilman LULUCF-sektoria,76820
1998,Paastot yhteensa ilman LULUCF-sektoria,73106
1999,Paastot yhteensa ilman LULUCF-sektoria,72428
2000,Paastot yhteensa ilman LULUCF-sektoria,70458
2001,Paastot yhteensa ilman LULUCF-sektoria,75803
2002,Paastot yhteensa ilman LULUCF-sektoria,78185
2003,Paastot yhteensa ilman LULUCF-sektoria,85763
2004,Paastot yhteensa ilman LULUCF-sektoria,81926
2005,Paastot yhteensa ilman LULUCF-sektoria,69883
2006,Paastot yhteensa ilman LULUCF-sektoria,81278
2007,Paastot yhteensa ilman LULUCF-sektoria,79566
2008,Paastot yhteensa ilman LULUCF-sektoria,71422
2009,Paastot yhteensa ilman LULUCF-sektoria,67730
2010,Paastot yhteensa ilman LULUCF-sektoria,75698
2011,Paastot yhteensa ilman LULUCF-sektoria,67933
2012,Paastot yhteensa ilman LULUCF-sektoria,62305
2013,Paastot yhteensa ilman LULUCF-sektoria,62819
2014,Paastot yhteensa ilman LULUCF-sektoria,58652
2015,Paastot yhteensa ilman LULUCF-sektoria,55076
2016,Paastot yhteensa ilman LULUCF-sektoria,57950
2017,Paastot yhteensa ilman LULUCF-sektoria,55075
2018,Paastot yhteensa ilman LULUCF-sektoria,56123
2019,Paastot yhteensa ilman LULUCF-sektoria,52731
2020,Paastot yhteensa ilman LULUCF-sektoria,47770
2021,Paastot yhteensa ilman LULUCF-sektoria,47797
2022,Paastot yhteensa ilman LULUCF-sektoria,45693
2023,Paastot yhteensa ilman LULUCF-sektoria,40998
