Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Afghanistan,AFG,64.1740966333107,64.767279818427,77.1437275538632,73.4908176326415,72.7659101386992,65.8623470043896,67.2271774798558,58.3308722306744,46.0870936659706,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Albania,ALB,22.9615792759282,22.2651885663762,19.3679442180935,19.121557306579,17.602163992984,18.5552438171978,19.0461862321065,15.70470712234,15.7070036417042,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Algeria,DZA,22.3593699475188,28.2331081205494,24.111122951181,25.6188658260447,25.5531525527547,24.7521457818965,24.9335900639775,24.3886086444981,25.5526558310447,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,American Samoa,ASM,6.43388247790542,6.78903031026655,6.38148164002644,6.34587688465646,6.92969282658657,6.92339918062073,6.98174556652016,6.72853173807719,6.71514739512663,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Andorra,AND,16.8271851125526,16.2215988704827,10.4359992732348,11.1088936507291,10.1068248002358,10.0219190390452,9.89580638748632,9.01087465277866,9.08028059086901,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Angola,AGO,23.8317672842136,23.5093420911103,23.9455836380328,25.0021502571501,25.1807008149163,23.9591508117097,24.2650153621146,24.5988113283925,25.1452381976267,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Antigua and Barbuda,ATG,19.284943603531,18.9169541844098,18.1521399923532,19.7963197860936,19.9208792974299,19.0159494088973,18.9233007168875,19.0584631585727,19.6982695582914,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Argentina,ARG,18.9601696021105,17.42603648416,13.9500593062949,14.6245514656634,14.2700594540808,13.9690174802422,14.1850800443346,14.3996238920365,14.9081737974407,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Armenia,ARM,28.2172870138816,27.498645550379,38.639237611456,38.1148586893988,35.8609078798257,34.0153569947094,34.201366074335,32.6618235324139,30.5796334750125,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Australia,AUS,7.75571864107217,7.45743282688833,7.38760302103561,7.18466162026884,7.20069562395068,7.4285359593217,7.74121920379958,9.33099031566264,8.25171746070811,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Austria,AUT,23.3587458774074,19.150573887216,12.9541454673827,13.5999635409,12.5143795701306,12.1557592255042,12.5861934480679,11.4645937760057,10.9335136815146,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Azerbaijan,AZE,19.3714211897473,19.773338223415,26.4192082058383,25.1867220505416,24.3527968807853,23.2421881518978,23.2360923544978,22.023834941184,21.7269999756599,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,"Bahamas, The",BHS,19.1015261579045,19.57806579485,18.5387484151285,19.1256311837319,18.49778336767,18.3612464143857,18.5796799431178,18.5659528939643,18.9393918728687,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Bahrain,BHR,68.5869119005512,68.651142599615,59.1499735070702,71.5594978371491,64.2193035294402,61.237494601176,71.8872328410934,59.9655174851019,58.4950629834781,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Bangladesh,BGD,53.1789824188564,53.2073315873939,68.3283645116627,64.1084295201163,63.6784141329752,58.3439766448258,59.513577848333,50.3645265388691,42.3813762359965,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Barbados,BRB,23.719954867614,23.2213661568837,22.3938111163809,24.1787536225197,24.4150757393389,23.2878109296981,23.2651852221243,23.3255430894091,23.7309657842996,..,..,..
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Belarus,BLR,32.8728924361175,27.8003375928239,19.3974713758219,17.6059281150121,15.8319434819688,15.7775132293532,16.9825400264261,15.6177925850738,14.6089903841381,..,..,..
