Year, Passenger rail transport
2011Q1,16961
2011Q2,16418
2011Q3,17269
2011Q4,17728
2012Q1,17028
2012Q2,16656
2012Q3,17377
2012Q4,18271
2013Q1,17211
2013Q2,16875
2013Q3,17305
2013Q4,17927
2014Q1,17158
2014Q2,16770
2014Q3,17067
2014Q4,17267
2015Q1,16997
2015Q2,20492
2015Q3,18951
2015Q4,19513
2016Q1,19984
2016Q2,20516
2016Q3,19324
2016Q4,22290
2017Q1,21660
2017Q2,20331
2017Q3,20999
2017Q4,22713
2018Q1,22199
2018Q2,20845
2018Q3,21095
2018Q4,23364
2019Q1,22553
2019Q2,22426
2019Q3,22681
2019Q4,25142
2020Q1,18742
2020Q2,10777
2020Q3,14838
2020Q4,15193
2021Q1,10580
2021Q2,12183
2021Q3,15109
2021Q4,17136
2022Q1,15154
2022Q2,19273
2022Q3,20622
2022Q4,21040
2023Q1,19698
2023Q2,20690
2023Q3,20756
2023Q4,21262
2024Q1,20692
2024Q2,20525
2024Q3,18705
